fqdn_id,ip_id
1,559
2,2002
3,7978
4,6613
5,4835
6,4504
7,648
8,2747
9,1484
9,5872
10,730
10,2511
10,2820
10,3457
10,4497
11,7525
12,3331
13,1991
13,3194
13,3511
13,6785
14,1697
14,6092
15,2859
15,3778
15,6637
16,7104
16,8878
17,6279
18,442
18,822
18,1449
18,1686
18,2402
18,5239
18,5475
18,7507
19,3
20,5497
21,6620
22,4342
24,2247
24,2548
24,5210
24,6778
24,7427
24,7485
25,6387
26,2956
27,4233
28,4858
29,864
31,7313
33,1228
34,2565
34,4996
35,6926
36,1134
36,4522
36,5557
36,7906
37,258
37,1268
37,1660
37,7395
37,8421
38,7259
39,1368
40,4254
40,6527
40,7631
41,2213
42,792
42,2376
43,1336
43,1560
43,6889
43,7787
43,8480
44,1436
44,7739
45,838
46,4166
48,6751
49,6273
49,7453
50,5176
51,700
51,4834
52,6971
53,7108
54,2191
54,4964
55,3262
56,2800
57,340
58,2929
58,8076
58,8239
58,8320
58,9238
59,3086
59,4310
59,6570
61,4494
62,1771
64,4709
64,8268
64,8295
64,8314
64,8447
64,8454
64,8497
64,8535
64,8576
64,8586
64,8692
64,8770
64,8857
64,8869
64,8923
64,9083
64,9190
65,2870
66,2927
67,7711
68,7853
68,8393
69,3774
70,1410
70,3033
71,1772
72,618
72,7118
73,3318
74,3187
75,867
76,1624
76,5658
76,7276
77,2296
77,7562
77,7715
78,329
78,3788
78,5389
78,5873
78,8685
79,2377
79,3236
79,3794
80,2642
80,3031
80,4630
80,7545
81,7346
82,4861
83,882
84,491
85,3765
85,5965
86,7577
87,1720
88,2540
89,6441
91,866
91,5361
91,5812
91,8073
92,359
92,500
92,1178
92,3106
92,4307
92,4400
92,7337
92,8102
93,1010
95,5577
96,7584
97,349
98,8017
99,994
99,2109
100,6654
101,696
102,4783
102,6865
103,5927
104,1193
104,2851
105,2913
105,4729
106,4693
107,7721
108,7447
109,6835
110,132
110,6288
111,1607
112,4389
113,3089
114,2580
115,5460
116,2298
117,3085
119,1339
119,3223
119,3546
119,6160
120,1310
122,3005
123,7655
124,3759
126,2240
127,2938
128,5385
129,3939
130,4643
131,2825
131,6898
131,7024
133,4716
134,1032
135,4200
135,4359
136,6796
137,4698
138,77
139,6679
140,5848
141,2337
142,2258
143,5891
144,5051
145,4182
146,1110
146,1501
146,4087
147,668
148,3780
149,8056
150,2408
151,2085
151,5431
153,5283
154,3355
155,5893
156,3936
157,6789
158,2233
159,2708
160,6185
161,1469
161,2186
161,4146
161,5391
162,4776
162,6070
162,6154
162,7500
162,7819
163,3215
164,3716
165,7159
166,5458
167,3068
168,2030
169,3904
170,7115
171,7862
172,5627
173,1098
174,2021
175,3382
175,4505
176,5799
176,6752
178,3721
179,2958
180,2749
180,3292
180,4591
180,7060
180,7810
181,642
182,7551
183,1439
183,4878
184,119
185,6972
186,658
187,4184
188,326
188,599
189,6718
190,363
191,4825
192,5420
193,716
194,4262
195,3751
196,195
197,6157
198,242
198,7186
200,2058
200,7344
200,8538
201,1521
201,3722
201,4547
202,3188
203,722
204,604
205,7351
206,4000
207,4788
208,4966
208,6696
209,5906
211,5728
212,5123
213,4653
214,5326
215,5254
216,2616
217,7225
217,7542
218,5026
218,5180
218,8137
219,4627
220,1757
221,5846
222,4721
223,7821
224,5918
225,5801
226,5300
226,9196
227,6878
228,3712
228,7550
229,5854
230,3303
231,6909
231,7251
232,6024
233,666
234,7811
235,3965
236,260
237,4040
239,7982
240,7937
241,208
241,3932
242,2794
243,5876
244,5354
244,8189
245,603
246,6772
247,5137
248,4407
249,414
249,1382
249,4214
249,7413
250,813
251,7761
252,7138
253,769
254,6781
254,6986
255,6519
256,8751
257,4811
258,4485
259,5975
260,209
261,4162
262,5405
263,243
264,4819
265,3972
266,297
266,466
266,1069
266,2123
266,8082
267,2982
268,571
268,2017
268,4079
268,5509
268,9130
269,3052
269,4732
269,7767
269,7987
270,7547
271,354
271,4116
271,5834
272,5256
273,1684
275,52
275,2435
275,5753
276,4530
277,945
278,7568
279,7017
280,3565
282,5827
283,5903
284,5745
285,4730
286,331
286,3579
286,6240
288,7311
289,855
290,2220
291,223
291,2015
291,2133
291,4460
292,3498
293,859
294,4872
294,6159
295,7680
296,1155
298,1448
298,6041
300,1335
303,2874
304,3185
305,2379
306,4365
307,7310
308,3300
309,3600
309,4671
309,7034
309,8987
310,4425
311,5686
312,1529
313,1626
314,3979
315,1340
316,4037
317,2759
318,6054
319,413
320,7628
321,3264
322,1530
323,3145
325,1652
326,2797
327,1407
328,473
329,791
329,1217
331,2394
331,2452
331,3076
332,4949
333,2178
334,6076
335,97
336,429
337,79
338,1379
339,4005
340,6088
341,5116
344,4013
345,7137
346,5843
347,1749
348,4765
350,3109
350,7503
351,4035
352,470
353,430
353,889
353,895
353,3475
354,7686
355,5345
357,4196
359,573
359,1655
359,3842
359,7113
361,3617
361,6182
363,2156
363,5561
363,6867
363,7806
363,8832
365,2043
366,6669
366,7414
367,2635
367,3395
367,3413
367,4685
367,7466
368,4614
369,4608
370,1775
370,3143
372,90
373,5803
374,5437
375,4621
376,6967
378,2910
378,5556
378,5649
378,6020
379,495
380,5861
381,1890
382,1276
384,2976
384,4404
385,6399
386,5112
387,377
387,1931
387,3989
388,16
388,2733
388,3817
389,6380
390,4560
390,6192
391,588
391,4905
391,4988
391,7916
391,8490
392,5374
393,6099
394,7700
395,150
396,1740
396,3445
396,6493
398,5296
398,5573
400,5761
401,1826
402,2300
402,6683
403,4376
404,5248
406,351
408,4224
409,3058
411,4459
412,386
413,1307
413,2739
413,4071
414,3386
415,3615
416,549
417,1361
417,2303
417,5731
418,3952
419,1765
420,6884
422,3855
423,6453
424,4388
425,42
427,3819
428,275
429,3442
430,196
431,4022
431,5904
432,4660
434,970
434,987
434,1192
434,1296
434,2700
434,3796
434,6488
436,4250
436,5539
437,8063
438,487
439,105
439,4874
440,7059
440,8048
441,2750
441,3069
442,5807
443,7442
444,343
445,3240
446,149
447,6061
448,88
449,271
450,2287
451,7809
452,6739
452,7265
453,5410
454,6976
455,5417
455,5756
455,6795
455,8413
456,724
456,2660
457,1780
457,8591
458,6217
459,6930
460,5287
460,8108
461,6341
462,4471
462,7107
463,785
463,2165
464,4065
465,4713
466,1860
467,1426
467,5684
468,2047
469,4652
470,1782
471,691
472,6045
472,6629
473,3044
473,3927
474,3818
475,3436
476,2437
477,6187
477,6852
478,7885
479,2843
479,6347
481,1508
482,7505
484,5073
485,2889
486,5654
487,7316
488,545
488,7484
489,1668
489,2848
489,5507
490,5053
491,1067
491,6379
491,6433
491,6558
491,8165
492,3947
493,7534
495,93
495,310
495,1216
496,5187
497,7839
498,262
498,707
499,2984
500,3575
500,7257
500,8780
501,1354
502,4567
503,6792
504,1861
505,7004
506,1364
508,7639
509,5739
509,6102
510,4677
510,4767
510,8002
511,4806
512,3168
513,3415
514,7845
516,6936
518,6969
519,7322
520,7477
521,3934
522,322
523,1971
524,1538
525,5809
526,3686
527,4256
528,2996
529,7665
530,2057
531,3023
532,6096
533,25
533,8144
534,5029
535,3853
535,5608
537,2771
539,138
539,5404
540,5140
541,2731
542,279
542,3874
543,2073
544,330
545,2964
546,850
547,748
548,2004
548,8547
548,9193
549,5240
550,2926
550,4472
550,4752
550,5828
551,1414
551,5639
552,709
553,598
553,3291
555,6510
555,6658
556,2378
557,4517
557,5030
559,4880
560,3924
561,3996
562,6592
563,5411
564,4953
565,5678
566,1704
567,7713
567,8287
567,8349
567,8376
567,8513
567,9107
567,9143
567,9145
567,9173
568,147
568,244
568,261
568,1949
568,3017
568,4333
568,7169
569,801
569,1926
569,2044
569,5707
569,7291
569,8130
569,8415
569,9113
570,497
570,3281
570,4440
570,4942
570,5328
570,6171
570,7994
572,2284
573,2138
574,1483
575,103
576,671
577,2890
577,3427
578,803
578,2329
578,3940
578,4315
578,4829
579,5583
579,7212
579,7670
580,3010
581,2598
582,5947
583,3214
584,2215
584,4393
585,2172
586,753
587,140
588,7266
589,817
589,1023
589,2677
589,2873
589,4192
589,7855
589,8612
589,8714
589,9176
590,1076
592,1806
592,2880
592,3422
593,6948
594,3403
594,3986
594,7338
595,2401
596,674
596,1583
596,9074
597,1974
598,3317
599,7143
600,5204
600,7248
601,1372
601,2706
601,3039
601,4596
603,790
603,5551
603,7357
605,7064
606,4556
608,54
609,5993
610,665
610,5923
611,3755
612,2561
613,4902
614,1940
616,9
616,3753
616,3920
617,1400
618,4284
618,5512
618,6900
618,8456
619,3898
620,5191
620,6954
620,7589
620,7985
621,3775
622,6283
624,309
624,6440
625,1601
626,1378
627,7473
628,2989
628,3867
628,7384
628,8360
628,8854
628,9135
628,9189
629,2579
629,3350
630,1302
630,2674
631,3962
632,5063
633,6269
635,620
635,1569
636,6652
637,4177
638,408
639,4702
640,405
640,1895
640,4724
641,3293
642,387
643,3754
643,4066
644,1783
646,1321
647,629
648,5711
649,5783
650,7511
651,2048
651,7389
652,2095
653,1222
653,1411
653,5480
654,427
655,2061
655,6149
656,2098
657,6834
658,6552
659,6085
660,4742
661,4944
661,5284
662,554
663,3006
664,3601
665,6377
666,2533
666,3555
666,6225
667,1306
667,3190
667,7660
668,4940
669,7556
670,4236
671,6670
672,1092
673,2321
674,576
675,746
676,4159
677,7815
678,2900
679,32
679,5469
679,7632
679,9166
680,3424
681,168
681,7300
682,6501
683,3705
684,2906
685,4340
686,1194
687,1171
688,186
689,1261
690,1351
691,3515
691,4795
691,5581
691,6804
691,7343
692,5613
692,6541
692,8822
694,819
694,1343
694,2114
694,2145
694,8534
695,2828
696,4524
697,1517
697,8312
698,2344
699,109
700,547
700,3830
700,4782
701,7237
702,3787
703,543
704,840
704,3453
704,3854
705,626
706,2469
707,6816
709,624
710,2638
710,4074
711,3848
712,7098
713,3524
714,7295
715,5439
716,6938
717,7106
718,2467
719,5758
720,6661
720,7891
721,1622
721,2243
721,3248
721,5623
722,3843
722,6414
723,3462
723,3509
723,3531
724,3626
725,5373
726,4123
727,17
729,2014
729,5538
729,5599
729,7643
730,228
730,1528
731,5468
732,2322
733,1679
734,3769
735,5196
736,1807
736,7898
737,3663
738,2032
739,3243
739,6357
739,7378
740,4417
742,558
743,5045
744,5274
746,7565
747,3798
748,5242
751,5245
752,6675
753,7976
754,615
754,676
754,4030
754,7928
755,4073
756,3789
756,5278
756,7128
756,8276
757,4251
758,577
758,849
758,4273
758,5749
759,2608
759,4085
761,4559
762,4358
763,237
764,6420
765,3865
766,2744
766,5362
767,622
767,4554
767,5155
767,6695
767,7218
767,7735
767,8142
769,1384
770,5536
770,6842
770,8070
771,705
772,1304
773,8077
774,7578
774,7624
775,1841
776,1936
777,364
778,7908
779,2176
779,4047
779,6309
779,6464
780,6254
781,3198
782,6017
783,5521
784,2302
784,6608
784,7262
784,7471
785,3505
786,7984
787,4084
790,799
790,861
790,5305
790,8989
791,7652
792,6235
793,5482
795,3890
796,5056
797,2305
798,5886
799,3559
799,3999
800,1114
800,1213
800,1281
800,6691
801,2494
802,1981
802,3418
802,3633
802,4413
802,5730
802,7052
802,9224
804,8001
805,1203
806,2397
807,3152
808,5567
809,3951
810,920
811,4202
811,4661
812,2115
813,59
813,151
814,625
815,2081
816,3541
816,5346
817,2163
818,4807
818,6060
819,7194
820,6315
821,1867
822,7468
823,834
823,1865
824,2509
825,3180
827,7152
828,4586
829,5546
830,955
830,6940
831,6910
832,3538
833,1387
834,5139
835,1836
836,6297
837,2918
838,177
838,2855
838,4098
838,4683
839,2704
840,6874
841,534
841,1014
842,7377
843,5750
844,1633
844,2995
844,7086
845,703
846,4561
847,35
848,36
849,1329
849,4113
850,7625
852,1767
853,2328
854,4120
855,5825
856,6303
857,4639
858,5999
859,5409
860,5563
861,4684
862,5440
864,980
865,6755
866,1303
866,2362
866,4887
866,6730
866,7449
867,5552
868,80
869,5322
870,7942
871,5850
872,7022
873,4784
874,5978
875,3959
876,1465
877,1227
878,7430
880,5388
882,2208
883,1398
883,3566
884,173
885,623
886,211
887,1107
887,2632
889,2019
891,5061
892,529
893,3278
894,2639
896,276
897,5017
898,2373
899,1363
902,7514
903,7852
904,6946
905,3203
907,200
907,5729
909,6477
910,1490
910,7134
911,7848
912,5231
912,7947
913,1798
914,2490
915,1629
917,5624
917,7946
918,4609
919,3719
920,6094
921,335
921,5586
921,5676
921,8600
921,8960
921,9048
921,9206
922,776
923,4349
924,5845
926,6887
927,7294
928,2762
929,7746
930,6595
931,1283
931,5895
932,2120
932,4241
933,334
934,7496
936,3782
937,2036
938,3349
939,5680
940,7332
941,681
941,733
941,5633
941,7930
942,5818
943,3549
944,7615
945,454
946,8747
