fqdn_id,registered_domain_id
1,1598
2,742
3,813
4,1875
5,611
6,2036
7,1528
8,1132
9,1895
10,1812
11,662
12,2421
13,1166
14,844
15,170
16,1420
17,1386
18,2242
19,1555
20,956
21,1004
22,12
23,1344
24,1119
25,2481
26,1132
27,1638
28,2066
29,873
30,1636
31,1876
32,697
33,1989
34,1744
35,2361
36,27
37,28
38,302
39,1806
40,46
41,2420
42,956
43,766
44,689
45,401
46,1120
47,1698
48,232
49,394
50,2141
51,669
52,36
53,1945
54,37
55,775
56,1625
57,38
58,2012
59,1079
60,215
61,1355
62,265
63,1008
64,1716
65,1253
66,563
67,1742
68,1985
69,304
70,111
71,1326
72,1903
73,2371
74,1568
75,1318
76,1258
77,1558
78,1565
79,1127
80,56
81,988
82,2156
83,1600
84,1100
85,734
86,2310
87,1561
88,578
89,441
90,1203
91,844
92,562
93,2404
94,1672
95,1809
96,573
97,72
98,2420
99,1095
100,629
101,75
102,937
103,422
104,689
105,80
106,872
107,2372
108,1026
109,2485
110,1920
111,169
112,1233
113,2178
114,529
115,2045
116,1348
117,1774
118,948
119,1393
120,528
121,1222
122,2450
123,1568
124,104
125,900
126,883
127,736
128,35
129,457
130,68
131,1677
132,222
133,1662
134,796
135,2430
136,156
137,1264
138,1003
139,568
140,1357
141,2104
142,988
143,123
144,125
145,473
146,292
147,1558
148,2150
149,1876
150,1900
151,1678
152,1833
153,608
154,1234
155,208
156,1350
157,1096
158,213
159,1956
160,345
161,1826
162,1807
163,824
164,1194
165,481
166,1945
167,2345
168,2114
169,1289
170,1463
171,14
172,214
173,641
174,258
175,1932
176,1387
177,1636
178,407
179,325
180,1368
181,1307
182,1213
183,1883
184,437
185,1726
186,1215
187,877
188,752
189,1945
190,72
191,1594
192,852
193,1027
194,1016
195,1044
196,1333
197,331
198,922
199,562
200,483
201,985
202,1167
203,629
204,577
205,1736
206,647
207,1945
208,181
209,1632
210,1375
211,8
212,1391
213,36
214,70
215,185
216,1447
217,996
218,420
219,380
220,1322
221,2099
222,25
223,371
224,450
225,200
226,1642
227,629
228,900
229,2455
230,1875
231,1166
232,1616
233,1970
234,461
235,755
236,648
237,1431
238,807
239,1510
240,573
241,210
242,1736
243,1044
244,1895
245,2417
246,499
247,457
248,1876
249,2191
250,2431
251,647
252,1534
253,2123
254,219
255,536
256,2406
257,649
258,1726
259,413
260,1553
261,1449
262,1855
263,82
264,1726
265,900
266,1251
267,2026
268,512
269,2356
270,662
271,1569
272,2325
273,1726
274,229
275,806
276,1613
277,142
278,251
279,662
280,1851
281,1636
282,1463
283,1482
284,2030
285,1226
286,696
287,1636
288,241
289,1020
290,1824
291,2479
292,1502
293,1219
294,2177
295,244
296,1618
297,247
298,371
299,1636
300,740
301,1375
302,247
303,536
304,2029
305,972
306,133
307,557
308,604
309,215
310,2018
311,2299
312,266
313,1826
314,144
315,169
316,449
317,1582
318,1971
319,250
320,1018
321,1355
322,588
323,793
324,1916
325,898
326,142
327,285
328,991
329,1092
330,1636
331,1728
332,1845
333,658
334,2317
335,1156
336,992
337,1947
338,2345
339,853
340,53
341,2127
342,2006
343,1132
344,295
345,2006
346,1009
347,1129
348,77
349,1569
350,1548
351,1527
352,1511
353,895
354,192
355,969
356,862
357,2026
358,659
359,812
360,2397
361,411
362,1636
363,2139
364,522
365,1970
366,408
367,860
368,2212
369,963
370,1995
371,1636
372,1757
373,2309
374,986
375,590
376,1157
377,1034
378,636
379,2362
380,2463
381,1284
382,162
383,2353
384,336
385,1965
386,931
387,44
388,2010
389,1469
390,2171
391,793
392,801
393,2375
394,1044
395,1784
396,1016
397,2407
398,696
399,396
400,1106
401,290
402,427
403,1207
404,343
405,1669
406,562
407,1461
408,784
409,2472
410,1636
411,1383
412,2221
413,1570
414,1096
415,2308
416,666
417,844
418,163
419,1875
420,613
421,1241
422,1327
423,814
424,1857
425,2008
426,1202
427,2462
428,313
429,586
430,144
431,1486
432,1726
433,1149
434,1875
435,629
436,1377
437,1934
438,1632
439,2086
440,1871
441,2264
442,1363
443,1747
444,1500
445,505
446,379
447,382
448,384
449,1642
450,2247
451,2184
452,231
453,632
454,1676
455,636
456,2149
457,1642
458,423
459,1538
460,1275
461,1054
462,1009
463,2453
464,1568
465,1918
466,90
467,2277
468,2003
469,241
470,1071
471,1779
472,46
473,1407
474,552
475,1741
476,1165
477,1203
478,1415
479,2009
480,2465
481,553
482,2418
483,2281
484,549
485,988
486,2213
487,988
488,449
489,943
490,1690
491,1379
492,2199
493,496
494,13
495,2092
496,1477
497,2072
498,109
499,1882
500,1253
501,1945
502,1558
503,1937
504,1069
505,1066
506,1509
507,2145
508,544
509,988
510,944
511,878
512,562
513,216
514,1907
515,629
516,1479
517,1636
518,434
519,1009
520,300
521,284
522,435
523,2137
524,285
525,734
526,2369
527,1873
528,1329
529,2006
530,1841
531,169
532,838
533,2316
534,2083
535,1106
536,518
537,574
538,426
539,2370
540,1933
541,1439
542,483
543,11
544,786
545,972
546,1203
547,1957
548,160
549,1014
550,1677
551,937
552,1247
553,1186
554,1572
555,1132
556,1185
557,436
558,1636
559,463
560,2066
561,641
562,231
563,817
564,1009
565,154
566,1467
567,844
568,470
569,562
570,1429
571,1636
572,625
573,641
574,601
575,1786
576,1584
577,679
578,1368
579,242
580,1510
581,1177
582,948
583,478
584,1077
585,2002
586,514
587,1945
588,985
589,691
590,2389
591,484
592,247
593,487
594,913
595,488
596,2087
597,2081
598,863
599,1651
600,1011
601,1155
602,1636
603,1581
604,1023
605,1497
606,1876
607,1126
608,1334
609,2375
610,786
611,87
612,1365
613,1200
614,540
615,1636
